condition,participant,trial,session,filename,duration,safety_outcome,minimum_distance,safety_margin,safety_score,alert_timing,timing_quality,first_alert_distance,alert_effectiveness,alert_precision,false_positive_risk,peak_risk_reached,emergency_events_count,total_alerts,driver_state_at_alert
SC-EV_fusion_P001,T3,20250730,154401,ttc_SC-EV_fusion_P001_T3_20250730_154401.json,20.182294130325317,safe,10.062747955322266,8.062747955322266,1.0,early_appropriate,good,inf,indeterminate,false_positive,1.0,1.0,8,4,using_phone
SC-EV_fusion_P001,T3,20250730,154202,ttc_SC-EV_fusion_P001_T3_20250730_154202.json,22.14998745918274,safe,18.05211639404297,16.05211639404297,1.0,early_appropriate,good,inf,precautionary,false_positive,1.0,0.8121736574349204,1,1,using_phone
SC-EV_external_only_P001,T3,20250730,141832,ttc_SC-EV_external_only_P001_T3_20250730_141832.json,21.024059534072876,safe,5.327136993408203,3.327136993408203,1.0,appropriate,good,16.923084259033203,moderately_effective,true_positive,0.0,1.0,14,3,safe_driving
SC-EV_internal_only_P001,T3,20250730,153923,ttc_SC-EV_internal_only_P001_T3_20250730_153923.json,21.906510591506958,safe,25.414203643798828,23.414203643798828,1.0,early_appropriate,good,inf,precautionary,false_positive,1.0,0.0,0,1,sleepy
SC-EV_internal_only_P001,T3,20250730,154001,ttc_SC-EV_internal_only_P001_T3_20250730_154001.json,27.076776266098022,collision,0.0,-2.0,0.0,appropriate,good,15.41739273071289,insufficient,true_positive,0.0,1.0,25,2,sleepy
SC-EV_internal_only_P001,T3,20250730,142509,ttc_SC-EV_internal_only_P001_T3_20250730_142509.json,21.114093542099,safe,20.398746490478516,18.398746490478516,1.0,early_appropriate,good,inf,precautionary,false_positive,1.0,0.6259132619415498,0,4,using_phone
SC-EV_fusion_P001,T3,20250730,154119,ttc_SC-EV_fusion_P001_T3_20250730_154119.json,19.18317985534668,safe,23.264995574951172,21.264995574951172,1.0,no_alerts,no_alert_needed,,correctly_suppressed,true_negative,0.0,0.3340854898396354,0,0,unknown
SC-EV_external_only_P001,T3,20250730,142033,ttc_SC-EV_external_only_P001_T3_20250730_142033.json,22.040992736816406,safe,2.7862548828125,0.7862548828125,0.696563720703125,appropriate,good,13.70645523071289,effective,true_positive,0.0,1.0,15,3,safe_driving
SC-EV_external_only_P001,T3,20250730,141946,ttc_SC-EV_external_only_P001_T3_20250730_141946.json,20.95432162284851,no_data,,,0.0,no_alerts,no_alert_needed,,indeterminate,indeterminate,0.5,0.0,0,0,unknown
SC-EV_external_only_P001,T3,20250730,141733,ttc_SC-EV_external_only_P001_T3_20250730_141733.json,24.059056282043457,safe,10.291057586669922,8.291057586669922,1.0,appropriate,good,18.593616485595703,indeterminate,false_positive,1.0,1.0,9,2,safe_driving
SC-EV_internal_only_P001,T3,20250730,142413,ttc_SC-EV_internal_only_P001_T3_20250730_142413.json,22.94225549697876,safe,8.312492370605469,6.312492370605469,1.0,no_alerts,no_alert_needed,,lucky_safe,true_negative,0.0,1.0,9,0,unknown
SC-EV_fusion_P001,T3,20250730,154238,ttc_SC-EV_fusion_P001_T3_20250730_154238.json,22.177599668502808,safe,5.962825775146484,3.9628257751464844,1.0,appropriate,good,16.140338897705078,moderately_effective,true_positive,0.0,1.0,13,4,sleepy
