condition_clean,count,mean,std,min,max,median,metric
External Only,5,3.832,3.017,0.0,6.979,5.261,minimum_distance
Fusion,3,13.24,10.22,2.997,23.436,13.285,minimum_distance
Internal Only,3,12.324,10.695,0.0,19.163,17.81,minimum_distance
External Only,5,1.832,3.017,-2.0,4.979,3.261,safety_margin
Fusion,3,11.24,10.22,0.997,21.436,11.285,safety_margin
Internal Only,3,10.324,10.695,-2.0,17.163,15.81,safety_margin
External Only,5,0.728,0.436,0.0,1.0,1.0,safety_score
Fusion,3,0.916,0.145,0.749,1.0,1.0,safety_score
Internal Only,3,0.667,0.577,0.0,1.0,1.0,safety_score
External Only,5,4.8,4.604,2.0,13.0,3.0,total_alerts
Fusion,3,3.667,3.215,0.0,6.0,5.0,total_alerts
Internal Only,3,4.333,4.041,0.0,8.0,5.0,total_alerts
